Unnamed: 0,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name,Exact Names,Entity Types,Identification Numbers,Date of Incorporations,Effective Dates,Location of Principal Offices,Agent Resigned,Address Maintained,Name and Address of Registered Agents,"Officers, Directors, and Corporations",Name and Business Address of General Partners,LLC Managers,Stocks,Purposes,NIACS,Business Entities
19,"L. PROCACCINI PLUMBING & HEATING CO.,INC.",31753, ,Revoked Entity," ,     USA",inactive,LP,"L. PROCACCINI PLUMBING & HEATING CO.,INC.",Domestic Profit Corporation,000031753,04-01-1952,04-01-1952," , USA",N,Y," ANTHONY A. GIANNINI,504 INDUSTRIAL BANK BUILDING ,PROVIDENCE, RI 02903 USA", ,None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNP $ 0.00001000, ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
20,"L.P. Books, Inc.",158784, ,Revoked Entity,"42 WHITECAP DRIVE NORTH KINGSTOWN, RI  02852  USA",inactive,LP,"L.P. Books, Inc.",Foreign Corporation,000158784,09-28-2006,09-28-2006,"42 WHITECAP DRIVE ,NORTH KINGSTOWN, RI 02852 USA",N,Y," JAMES L. BRANNIGAN,42 WHITECAP DRIVE ,NORTH KINGSTOWN, RI 02852 USA","PRESIDENT/TREASURERMICHAEL DESROSIERS 42 WHITECAP DRIVE NORTH KINGSTOWN, RI 02852 USAVICE PRESIDENT/SECRETARYNEIL WILSON AUDIOGO LTD ST JAMES HOUSE LOWER BRISTOL RD BATH, B02 3SB UKDIRECTORMICHAEL KUHN AUDIOGO LTD ST JAMES HOUSE LOWER BRISTOL RD BATH, B02 3SB UK",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.000015,000100", PUBLISHING COMPANY TITLE: 7-1.2-1405 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
21,"L.P. Enterprises, Inc.",31996, ,Revoked Entity,"5776 POST ROAD EAST GREENWICH, RI  02818  USA",inactive,LP,"L.P. Enterprises, Inc.",Domestic Profit Corporation,000031996,09-21-1976,09-21-1976,"5776 POST ROAD ,EAST GREENWICH, RI 02818 USA",N,N," LOUIS PUCINO,5433 POST ROAD ,EAST GREENWICH, RI 02818 USA","PRESIDENTLOUIS PUCINO 91 BOND ST. EAST GREENWICH, RI 02818 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.00006000," TO BUY, SELL AND DEAL GENERALLY IN AUTOMOTIVE PARTS AND ACCESSORIES, REPAIR MOTOR VEHICLES; TO PERFORM TOWING SERVICES TITLE: 7-1.1-51",None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
22,L.P.C. CONSTRUCTION INC.,51612, ,Revoked Entity,"531 WINTER STREET WOONSOCKET, RI  02895  USA",inactive,LP,L.P.C. CONSTRUCTION INC.,Domestic Profit Corporation,000051612,10-19-1988,10-19-1988,"531 WINTER STREET ,WOONSOCKET, RI 02895 USA",N,Y," LESZEK PRZYBYLKO,531 WINTER ST. ,WOONSOCKET, RI 00000 USA","PRESIDENTLESZEK PRZYBYLKO 531 WINTER STREET WOONSOCKET, RI 02895 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.00001,0000", TITLE 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
23,"L.P.G. Enterprises, Inc.",16810, ,Revoked Entity," ,     USA",inactive,LP,"L.P.G. Enterprises, Inc.",Domestic Profit Corporation,000016810,11-26-1982,11-26-1982," , USA",N,Y," WARREN BOOTHMAN, ESQ.,131 AIRPORT ROAD ,WARWICK,, RI 02889 USA", ,None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTK $ 0.00001,0000", TITLE 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
24,"L.P.L. LIQUIDATIONS, INC.",56527, ,Revoked Entity," ,     USA",inactive,LP,"L.P.L. LIQUIDATIONS, INC.",Domestic Profit Corporation,000056527,06-30-1989,06-30-1989," , USA",N,Y," THOMAS W. PEARLMAN, ESQ.,750 EAST AVENUE ,PAWTUCKET, RI 00000 USA", ,None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTK $ 0.00001000, TITLE 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
25,L.P.L./ LLC,267505, ,Cancelled,"55 EASTWOOD CIRCLE GARDNER, MA  01440  USA",inactive,LP,L.P.L./ LLC,Foreign Limited Liability Company,000267505,10-16-2007,10-16-2007,"55 EASTWOOD CIRCLE ,GARDNER, MA 01440 USA",N,Y," CT CORPORATION SYSTEM,155 SOUTH MAIN STREET, SUITE 301 ,PROVIDENCE, RI 02903 USA",None,"MANAGERDENNIS F. GORMAN 370 MAIN STREET WORCESTER, MA 01608 USAMANAGERRICHARD P. DONOVAN 55 EASTWOOD CIRCLE GARDNER, MA 01440 USAMANAGERCHRISTOPHER W. BRAMLEY 55 EASTWOOD CIRCLE GARDNER, MA 01440 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERDENNIS F. GORMAN 370 MAIN STREET WORCESTER, MA 01608 USAMANAGERRICHARD P. DONOVAN 55 EASTWOOD CIRCLE GARDNER, MA 01440 USAMANAGERCHRISTOPHER W. BRAMLEY 55 EASTWOOD CIRCLE GARDNER, MA 01440 USA",None, Real estate ,None,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
26,"L.P.M. Holding Company, Inc.",61736, ,Revoked Entity,"24 MAIN STREET MAYNARD, MA  01754  USA",inactive,LP,"L.P.M. Holding Company, Inc.",Foreign Corporation,000061736,08-27-1990,08-27-1990,"24 MAIN STREET ,MAYNARD, MA 01754 USA",N,N," ROBERT J. WATSON,C/O APC 132 FAIRGROUNDS ROAD,WEST KINGSTON, RI 02892- USA","PRESIDENTROBERT J WATSON 105 PELHAM ISLAND ROAD SUDBORY, MA 01776 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 1.000010,0001,000", CAFETERIA & CATERING SALES ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
27,L.P.Q. Inc.,4805, ,Revoked Entity," ,     USA",inactive,LP,L.P.Q. Inc.,Domestic Profit Corporation,000004805,03-25-1987,04-01-1987," , USA",N,N," LOUIS P.QUIRINI,#166 VALLEY ST. BLDG. 6A, ,PROVIDENCE, RI 02909 USA", ,None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNP $ 0.00006000, 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
28,"L.P.T. HOME IMPROVEMENTS, INC.",94205, ,Revoked Entity,"238 GROVE STREET WOONSOCKET, RI  02895  USA",inactive,LP,"L.P.T. HOME IMPROVEMENTS, INC.",Domestic Profit Corporation,000094205,03-24-1997,04-01-1997,"238 GROVE STREET ,WOONSOCKET, RI 02895 USA",N,Y," RONALD CHARRON,238 GROVE STREET ,WOONSOCKET, RI 02895 USA","PRESIDENTRONALD CHARRON 238 GROVE STREET WOONSOCKET, RI 02895 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.00001,0000", HOME IMPROVEMENTS SUCH AS ADDING ROOMS TO AN EXISTING HOUSE. TITLE: 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
